scope,state,record_date,income_group,mean,median,estimated_expenditure
MALAYSIA,MALAYSIA,2019-01-01,B40,3475.9984375,3478.134375,2266.54
MALAYSIA,MALAYSIA,2019-02-01,B40,3481.708376736111,3483.8253038194443,1986.39
MALAYSIA,MALAYSIA,2019-03-01,B40,3487.418315972222,3489.516232638889,2016.73
MALAYSIA,MALAYSIA,2019-04-01,B40,3493.128255208333,3495.2071614583333,2107.84
MALAYSIA,MALAYSIA,2019-05-01,B40,3498.8381944444445,3500.898090277778,1989.84
MALAYSIA,MALAYSIA,2019-06-01,B40,3504.548133680556,3506.5890190972223,1969.19
MALAYSIA,MALAYSIA,2019-07-01,B40,3510.2580729166666,3512.279947916667,2272.59
MALAYSIA,MALAYSIA,2019-08-01,B40,3515.9680121527776,3517.970876736111,2162.55
MALAYSIA,MALAYSIA,2019-09-01,B40,3521.6779513888887,3523.6618055555555,2119.25
MALAYSIA,MALAYSIA,2019-10-01,B40,3527.387890625,3529.352734375,2311.07
MALAYSIA,MALAYSIA,2019-11-01,B40,3533.097829861111,3535.0436631944444,2344.95
MALAYSIA,MALAYSIA,2019-12-01,B40,3538.8077690972223,3540.734592013889,2276.29
MALAYSIA,MALAYSIA,2020-01-01,B40,3544.5177083333333,3546.4255208333334,2296.46
MALAYSIA,MALAYSIA,2020-02-01,B40,3550.2276475694443,3552.1164496527776,2396.09
MALAYSIA,MALAYSIA,2020-03-01,B40,3555.9375868055554,3557.8073784722224,2295.08
MALAYSIA,MALAYSIA,2020-04-01,B40,3561.6475260416664,3563.4983072916666,2308.0
MALAYSIA,MALAYSIA,2020-05-01,B40,3567.357465277778,3569.189236111112,2309.58
MALAYSIA,MALAYSIA,2020-06-01,B40,3573.067404513889,3574.880164930556,2082.73
MALAYSIA,MALAYSIA,2020-07-01,B40,3578.77734375,3580.57109375,2287.95
MALAYSIA,MALAYSIA,2020-08-01,B40,3584.487282986111,3586.2620225694445,2102.88
MALAYSIA,MALAYSIA,2020-09-01,B40,3590.197222222222,3591.952951388889,2126.41
MALAYSIA,MALAYSIA,2020-10-01,B40,3595.9071614583336,3597.643880208333,2101.59
MALAYSIA,MALAYSIA,2020-11-01,B40,3601.6171006944446,3603.3348090277777,2269.87
MALAYSIA,MALAYSIA,2020-12-01,B40,3607.327039930556,3609.0257378472224,2116.06
MALAYSIA,MALAYSIA,2021-01-01,B40,3613.036979166666,3614.716666666666,2309.32
MALAYSIA,MALAYSIA,2021-02-01,B40,3618.7469184027777,3620.407595486111,2457.39
MALAYSIA,MALAYSIA,2021-03-01,B40,3624.456857638889,3626.098524305556,2085.21
